Survey Version,Date Added To Spreadsheet,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,2,2b,3,4,5,6,7,8,8_8_TEXT,9,9_7_TEXT,10,10_8_TEXT,11,11_6_TEXT,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_8_TEXT,12_9,13_1,13_2,13_3,13_4,13_5,13_6,13_7,13_7_TEXT,13_8,13_9,14,14_10_TEXT,15_1,15_2,15_3,15_4,15_5,15_6,15_7,15_8,15_9,15_10,15_10_TEXT,15_11,16,16_4_TEXT,17,18,18_10_TEXT,19,19_5_TEXT,20,20_5_TEXT,21,22,22_5_TEXT,53,53_7_TEXT,54,55,56,57,57_6_TEXT,58,59,60,61,61_6_TEXT,62,63,63_4_TEXT,64,64_5_TEXT,23,23_10_TEXT,24_1,24_2,24_3,24_4,24_5,24_6,24_7,24_8,24_9,24_10,24_10_TEXT,24_11,25,25_4_TEXT,26,27,28,28_10_TEXT,29,29_11_TEXT,30,30_5_TEXT,31,32,32_5_TEXT,33,33_6_TEXT,34_1,34_2,34_3,34_4,34_5,34_6,34_6_TEXT,34_7,35,35_4_TEXT,36,37,38,39,39_12_TEXT,40,40_12_TEXT,41,41_5_TEXT,42,43,43_5_TEXT,44,44_7_TEXT,45_1,45_2,45_3,45_4,45_5,45_6,45_7,45_7_TEXT,45_8,46_1,46_2,46_3,46_4,46_5,46_6,46_7,46_7_TEXT,46_8,47,47_10_TEXT,48,48_12_TEXT,49,49_10_TEXT,50,50_5_TEXT,51,52,52_5_TEXT,WeatherEvent,TimePer,Participant ID
Spanish,11/10/2025 9:34 AM PST,11/8/2025 8:39:16,11/8/2025 8:51:07,100,711,True,11/8/2025 8:51:08,R_5AI1rxe6hJsXewh,0.800000011920929,70117,,Más de 20 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Antes del evento fluvial (preparación),"Daños en el hogar sin seguro,Muebles u otros activos no asegurados,Incapacidad para trabajar debido al clima",,"Radio,Teléfono inteligente",,"Redes sociales (por ejemplo, Facebook, Twitter/X, Instagram, Nextdoor)",,"Fuentes comunitarias (p. ej., amigos, familiares, grupos sociales)",,,,,Moderadamente,,,,,,,,Moderadamente,,,,,,,,,Órdenes de evacuación/avisos obligatorios,,Ni fácil ni difícil,,,,,,,,,,,,"Servicio Meteorológico Nacional (National Weather Service en inglés),Nola Ready (Municipalidad de Nueva Orleans),Proveedores de servicios públicos (por ejemplo, Entergy)",,Muy influyente,"Aplicaciones de estaciones de noticias locales (por ejemplo, 4WWL),NOLA Ready",,Acceder a un teléfono inteligente u otro dispositivo,,"Recursos visuales más claros (p. ej., mapas de inundaciones, posibles cierres de carreteras, puntos de distribución),Apoyo en persona (p. ej., organizadores locales),Información local a nivel de vecindario,Múltiples formatos accesibles (p. ej., imágenes, videos, letra grande, lectores de pantalla, subtítulos)",,Sometimes,Otro (por favor especifique),English ,Organizaciones religiosas,,No alquilo ni soy propietario de mi casa,No,No,,,55-64,"Menos de un diploma de escuela secundaria (por ejemplo, diploma de escuela secundaria o escuela preparatoria) o equivalente","Menos de $10,000",Otro (por favor especifique),Latino,Sí,Hombre,,Dificultad de movilidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,antes de,S34589084
Spanish,11/10/2025 9:34 AM PST,11/8/2025 7:48:50,11/8/2025 8:52:59,100,3849,True,11/8/2025 8:53:00,R_7fZuwWUhAHg0iys,0.8999999761581420,Otro,70032,11-20 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Huracanes,Antes del evento fluvial (preparación),"Coche sin seguro,Incapacidad para trabajar debido al clima,Pérdida de ingresos",,"Computadora/computadora portátil,Teléfono inteligente,Televisión",,"Gobierno local (p. ej., municipalidad, estado)",,Pude encontrar rápidamente la información que necesitaba.,,,Moderadamente,,,,,,,,,,,,,,,,,,Moderadamente,"Órdenes de evacuación/avisos obligatorios,Apertura del refugio,Avisos de cierre de escuelas y lugares de trabajo",,Algo difícil,,,,Algo fácil,,Ni fácil ni difícil,,,,,,"Servicio Meteorológico Nacional (National Weather Service en inglés),Nola Ready (Municipalidad de Nueva Orleans),Proveedores de servicios públicos (por ejemplo, Entergy)",,Moderadamente influyente,"Smart911,Redes sociales (por ejemplo, Facebook, Instagram, Twitter/X),Aplicaciones meteorológicas",,"Información contradictoria de diferentes fuentes,Acceder a un teléfono inteligente u otro dispositivo,Cortes de energía",,"Apoyo en persona (p. ej., organizadores locales),Información local a nivel de vecindario,Mensajeros confiables (p. ej., organizaciones comunitarias)",,Sometimes,Otro (por favor especifique),Expands engles,"Servicios Legales de Emergencia (Emergency Legal Responders, ELR en inglés),Ayuda mutua y ayuda en casos de desastre (MADR) (Mutual Aid Disaster Relief en inglés),Asociaciones de vecinos",,Soy propietario de mi casa.,Sí,Sí,"Seguro de auto,Seguro de vivienda",,55-64,"Diploma de escuela secundaria, GED o equivalente (por ejemplo, diploma de escuela secundaria o escuela preparatoria)","De $35,000 a $49,999",Otro (por favor especifique),White black,Sí,Hombre,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huracán,antes de,S37763499
Spanish,11/10/2025 9:34 AM PST,11/8/2025 8:51:53,11/8/2025 8:58:44,100,411,True,11/8/2025 8:58:45,R_5nGfkY2vxFmQxKz,0.800000011920929,70117,,Más de 20 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Antes del evento fluvial (preparación),Daños en el hogar sin seguro,,"Radio,Teléfono inteligente,Televisión",,"Redes sociales (por ejemplo, Facebook, Twitter/X, Instagram, Nextdoor)",,"Fuentes comunitarias (p. ej., amigos, familiares, grupos sociales),Gobierno local (p. ej., municipalidad, estado),Noticias locales (por ejemplo, televisión, radio),Redes sociales (por ejemplo, Facebook, Twitter/X, Instagram, Nextdoor)",,,,,Moderadamente,,,,,,,,Moderadamente,Moderadamente,Moderadamente,Moderadamente,,,,,,"Órdenes de evacuación/avisos obligatorios,Orientación sobre la protección de la propiedad (por ejemplo, protección contra inundaciones, seguros, mascotas),Pronóstico de lluvias,Recolección de sacos de arena",,Ni fácil ni difícil,Ni fácil ni difícil,Ni fácil ni difícil,,,Ni fácil ni difícil,,,,,,,"Servicio Meteorológico Nacional (National Weather Service en inglés),Nola Ready (Municipalidad de Nueva Orleans)",,Moderadamente influyente,"Aplicaciones de estaciones de noticias locales (por ejemplo, 4WWL),NOLA Ready",,Interrupciones de Internet y datos móviles,,"Mensajeros confiables (p. ej., organizaciones comunitarias)",,Sometimes,Otro (por favor especifique),English ,Organizaciones religiosas,,Soy propietario de mi casa.,No,No,,,35-54,"Menos de un diploma de escuela secundaria (por ejemplo, diploma de escuela secundaria o escuela preparatoria) o equivalente","Menos de $10,000",Otro (por favor especifique),Latino,Sí,Mujer,,Dificultad de movilidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,antes de,S38513777
Spanish,11/10/2025 9:34 AM PST,11/8/2025 9:05:21,11/8/2025 9:13:10,100,469,True,11/8/2025 9:13:11,R_1fXGV1ELAP5RDG1,1,70126,,1-5 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Durante el evento fluvial,"Incapacidad para trabajar debido al clima,El seguro no cubre completamente los daños al automóvil",,Televisión,,"Gobierno local (p. ej., municipalidad, estado)",,"Fuentes comunitarias (p. ej., amigos, familiares, grupos sociales)",,,Muchísimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Servicios Legales de Emergencia (Emergency Legal Responders, ELR en inglés)",,Alquilo mi casa.,No,,,,55-64,"Menos de un diploma de escuela secundaria (por ejemplo, diploma de escuela secundaria o escuela preparatoria) o equivalente","Menos de $10,000",Blanco,,,Hombre,,Dificultad visual,,Ubicaciones de refugios de emergencia,,,,,,,,,,,,,,"Proveedores de servicios públicos (por ejemplo, Entergy)",,A veces,A menudo,"Redes sociales (por ejemplo, Facebook, Instagram, Twitter / X)",,La información es demasiado difícil de entender,,"Múltiples formatos accesibles (por ejemplo, imágenes, videos, letra grande, lectores de pantalla, subtítulos)",,A menudo,Criollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,durante,S31678949
Spanish,11/10/2025 9:34 AM PST,11/8/2025 9:03:23,11/8/2025 9:14:52,100,689,True,11/8/2025 9:14:52,R_5go8g4pqJ2llmOU,0.8999999761581420,Otro,70122,6-10 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Antes del evento fluvial (preparación),Pérdida de ingresos,,Teléfono inteligente,,Alertas de texto o notificaciones de emergencia,,"Gobierno local (p. ej., municipalidad, estado)",,,,,,,,Mucho,,,,,,Mucho,,,,,,,,Órdenes de evacuación/avisos obligatorios,,Algo difícil,,,,,,,,,,,,,,Extremadamente influyente,NOLA Ready,,Acceder a un teléfono inteligente u otro dispositivo,,Información local a nivel de vecindario,,Sometimes,Otro (por favor especifique),English,No estoy afiliado a ninguna organización comunitaria.,,Alquilo mi casa.,No,No,,,35-54,"Menos de un diploma de escuela secundaria (por ejemplo, diploma de escuela secundaria o escuela preparatoria) o equivalente","Menos de $10,000",Negro o afroamericano,,Sí,Hombre,,Dificultad visual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,antes de,S39246813
Spanish,11/12/2025 12:29 PM PST,11/12/2025 8:25:54,11/12/2025 8:35:39,100,584,True,11/12/2025 8:35:39,R_3xSsg5P64GjxuUy,1,70118,,11-20 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Antes del evento fluvial (preparación),Incapacidad para trabajar debido al clima,,"En persona (es decir, de boca en boca),Radio,Teléfono inteligente",,"Fuentes comunitarias (p. ej., amigos, familiares, grupos sociales)",,"Fuentes comunitarias (p. ej., amigos, familiares, grupos sociales),Otro (por favor especifique)",organizaciones,Mucho,,,,,,,,,,,Mucho,,,,,Mucho,,,,"Órdenes de evacuación/avisos obligatorios,Apertura del refugio,Avisos de cierre de escuelas y lugares de trabajo,Estado de las bombas de drenaje",,Ni fácil ni difícil,,,,Ni fácil ni difícil,,Ni fácil ni difícil,Ni fácil ni difícil,,,,,Nola Ready (Municipalidad de Nueva Orleans),,Muy influyente,NOLA Ready,,"Acceder a un teléfono inteligente u otro dispositivo,Interrupciones de Internet y datos móviles,Cortes de energía",,"Apoyo en persona (p. ej., organizadores locales),Información local a nivel de vecindario",,Sometimes,No aplica,,Otro (por favor especifique),familias unidas en Accion ,Alquilo mi casa.,No,No,,,55-64,"Diploma de escuela secundaria, GED o equivalente (por ejemplo, diploma de escuela secundaria o escuela preparatoria)","De $10,000 a $14,999",Otro (por favor especifique),hispano,Sí,Mujer,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,antes de,S46380152
Spanish,11/12/2025 12:29 PM PST,11/12/2025 9:33:56,11/12/2025 9:54:31,100,1235,True,11/12/2025 9:54:32,R_68kPhW9Yxv6xCGl,1,70115,,11-20 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Antes del evento fluvial (preparación),"Daños en el hogar sin seguro,Coche sin seguro,Muebles u otros activos no asegurados,Incapacidad para trabajar debido al clima,El seguro no cubre completamente los daños al automóvil,Pérdida de ingresos",,"Computadora/computadora portátil,En persona (es decir, de boca en boca),Radio,Teléfono inteligente,Televisión",,Alertas de texto o notificaciones de emergencia,,"Fuentes comunitarias (p. ej., amigos, familiares, grupos sociales),Noticias locales (por ejemplo, televisión, radio),Redes sociales (por ejemplo, Facebook, Twitter/X, Instagram, Nextdoor),Búsqueda en línea (por ejemplo, Google, Safari)",,,,,,,,Muchísimo,,,,,Muchísimo,,Muchísimo,,,,,,,"Órdenes de evacuación/avisos obligatorios,Pronóstico de lluvias,Recolección de sacos de arena,Avisos de cierre de escuelas y lugares de trabajo,Estado de las bombas de drenaje,Notificaciones de transporte (p. ej., transporte público, cierres de carreteras)",,Algo difícil,,Muy fácil,,,Muy fácil,Algo fácil,Muy difícil,,,,,"Proveedores de servicios públicos (por ejemplo, Entergy)",,Muy influyente,"Aplicaciones de estaciones de noticias locales (por ejemplo, 4WWL),NOLA Ready,Redes sociales (por ejemplo, Facebook, Instagram, Twitter/X),Aplicaciones meteorológicas",,"Información contradictoria de diferentes fuentes,Dificultad para encontrar información a nivel de vecindario,La información es demasiado difícil de entender,La información no está disponible en mi idioma,Acceder a un teléfono inteligente u otro dispositivo,Interrupciones de Internet y datos móviles",,"Instrucciones escritas más claras (p. ej., consejos de seguridad contra inundaciones, pautas de refugio),Recursos visuales más claros (p. ej., mapas de inundaciones, posibles cierres de carreteras, puntos de distribución),Apoyo en persona (p. ej., organizadores locales),Información local a nivel de vecindario,Múltiples formatos accesibles (p. ej., imágenes, videos, letra grande, lectores de pantalla, subtítulos),Mensajeros confiables (p. ej., organizaciones comunitarias)",,Rarely,,,No estoy afiliado a ninguna organización comunitaria.,,Alquilo mi casa.,No,No,,,35-54,Prefiero no responder,"De $10,000 a $14,999",Prefiero no responder,,Sí,Hombre,,Prefiero no responder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,antes de,S27132278
Spanish,11/12/2025 12:29 PM PST,11/12/2025 9:49:39,11/12/2025 10:09:10,100,1170,True,11/12/2025 10:09:10,R_51QIpb09LWA4gYq,1,70126,,1-5 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Antes del evento fluvial (preparación),"Muebles u otros activos no asegurados,Pérdida de ingresos",,"Teléfono inteligente,Televisión",,"Noticias locales (por ejemplo, televisión, radio)",,Pude encontrar rápidamente la información que necesitaba.,,,,Mucho,,,,,,,,,,,,,,,,,Mucho,"Órdenes de evacuación/avisos obligatorios,Reglas sobre el estacionamiento en terreno neutral,Notificaciones de transporte (p. ej., transporte público, cierres de carreteras)",,Muy fácil,,,Muy fácil,,,,,Muy fácil,,,,"Servicio Meteorológico Nacional (National Weather Service en inglés),Nola Ready (Municipalidad de Nueva Orleans)",,Muy influyente,NOLA Ready,,"Interrupciones de Internet y datos móviles,Cortes de energía",,"Recursos visuales más claros (p. ej., mapas de inundaciones, posibles cierres de carreteras, puntos de distribución),Información local a nivel de vecindario,Mensajeros confiables (p. ej., organizaciones comunitarias)",,Always,No aplica,,Otro (por favor especifique),Familias Unidas en Accion,Alquilo mi casa.,No,No sé,,,35-54,"Licenciatura (p. ej., universidad de 4 años)","De $25,000 a $34,999",Negro o afroamericano,,Sí,Mujer,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,antes de,S1910376
Spanish,11/12/2025 12:29 PM PST,11/12/2025 9:45:24,11/12/2025 10:14:57,100,1773,True,11/12/2025 10:14:58,R_3g6N5acermNId5G,1,Otro,70119,6-10 años,Sí,"Sí, doy mi consentimiento para participar en este estudio y tengo al menos 18 años de edad.",Ambos igualmente importantes,Antes del evento fluvial (preparación),"Daños en el hogar sin seguro,Coche sin seguro,Incapacidad para trabajar debido al clima,El seguro no cubre completamente los daños al hogar",,"Computadora/computadora portátil,En persona (es decir, de boca en boca),Radio,Teléfono inteligente",,"Noticias locales (por ejemplo, televisión, radio)",,"Redes sociales (por ejemplo, Facebook, Twitter/X, Instagram, Nextdoor),Búsqueda en línea (por ejemplo, Google, Safari)",,,,Mucho,,,,,,,,,,,,A veces,A veces,,,,,"Órdenes de evacuación/avisos obligatorios,Pronóstico de lluvias,Apertura del refugio,Recolección de sacos de arena,Avisos de cierre de escuelas y lugares de trabajo",,Muy fácil,,Muy fácil,,Ni fácil ni difícil,Ni fácil ni difícil,Muy fácil,,,,,,"Servicio Meteorológico Nacional (National Weather Service en inglés),Nola Ready (Municipalidad de Nueva Orleans),Proveedores de servicios públicos (por ejemplo, Entergy)",,Ligeramente influyente,"Aplicaciones de estaciones de noticias locales (por ejemplo, 4WWL),Redes sociales (por ejemplo, Facebook, Instagram, Twitter/X)",,Información contradictoria de diferentes fuentes,,"Apoyo en persona (p. ej., organizadores locales)",,Sometimes,,,Asociaciones de vecinos,,Alquilo mi casa.,No sé,No estoy seguro de si mi seguro lo cubre,,,18-34,Algo de universidad,"De $25,000 a $34,999",Blanco,,Sí,Mujer,,No aplica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tormenta severa,antes de,S12376223
